ciudad,lat_solicitada,lon_solicitada,lat_celda,lon_celda,dias_uvi_3,dias_uvi_6,dias_uvi_8,dias_uvi_11,uvi_promedio,uvi_maximo,dias_con_datos
Ciudad de México,19.4326,-99.1332,19.375,-99.125,366,366,321,246,12.12,15.97,366
Puebla,19.0414,-98.2063,19.125,-98.125,366,366,329,249,12.22,16.09,366
Acapulco,16.8531,-99.8237,16.875,-99.875,366,366,317,236,11.23,14.64,366
Guadalajara,20.6597,-103.3496,20.625,-103.375,366,364,291,229,11.25,15.21,366
Mérida,20.9674,-89.5926,20.875,-89.625,366,344,271,196,10.11,13.49,366
Cancún,21.1619,-86.8515,21.125,-86.875,366,336,268,191,10.07,13.36,366
Los Cabos,22.8905,-109.9167,22.875,-109.875,366,305,254,162,9.51,13.03,366
Monterrey,25.6866,-100.3161,25.625,-100.375,366,290,244,165,9.44,13.77,366
Hermosillo,29.0729,-110.9559,29.125,-110.875,363,253,188,77,7.9,13.38,366
Tijuana,32.5149,-117.0382,32.625,-117.125,317,197,149,14,6.75,11.48,366
