ciudad,estado,lat,lon,lat_pixel,lon_pixel,promedio_dias_uvi_3,promedio_dias_uvi_6,promedio_dias_uvi_8,promedio_dias_uvi_11,uvi_promedio_periodo,promedio_maximo_anual,maximo_absoluto_periodo,minimo_dias_uvi_6,maximo_dias_uvi_6,anios_analizados
Acapulco,Guerrero,16.8531,-99.8237,16.875,-99.875,365.2,365.2,316.2,226.5,11.2,14.4,15.7,364,366,11
Ciudad de México,CDMX,19.4326,-99.1332,19.375,-99.125,365.2,365.2,322.0,241.7,12.1,16.1,17.8,364,366,11
Puebla,Puebla,19.0414,-98.2063,19.125,-98.125,365.2,365.2,329.5,244.7,12.1,16.2,18.2,364,366,11
Querétaro,Querétaro,20.5888,-100.3899,20.625,-100.375,365.2,365.1,298.9,230.2,11.5,15.4,16.4,364,366,11
Veracruz,Veracruz,19.1738,-96.1342,19.125,-96.125,365.2,365.1,290.6,210.6,10.6,14.0,15.6,364,366,11
León,Guanajuato,21.1222,-101.684,21.125,-101.625,365.2,364.5,293.5,225.8,11.4,15.4,16.5,363,366,11
Guadalajara,Jalisco,20.6597,-103.3496,20.625,-103.375,365.2,364.5,292.5,223.8,11.2,15.1,16.3,364,366,11
Zapopan,Jalisco,20.7214,-103.3918,20.625,-103.375,365.2,364.5,292.5,223.8,11.2,15.1,16.3,364,366,11
Mérida,Yucatán,20.9674,-89.5926,20.875,-89.625,365.2,346.5,269.9,186.9,10.1,13.6,14.8,334,365,11
Cancún,Quintana Roo,21.1619,-86.8515,21.125,-86.875,365.2,344.7,268.9,184.4,10.0,13.5,14.4,331,364,11
Monterrey,Nuevo León,25.6866,-100.3161,25.625,-100.375,365.2,291.7,243.4,164.7,9.5,13.9,14.5,279,312,11
Hermosillo,Sonora,29.0729,-110.9559,29.125,-110.875,363.0,250.0,201.5,78.3,8.1,12.7,13.4,243,259,11
Juárez,Chihuahua,31.6904,-106.4245,31.625,-106.375,350.9,242.1,192.8,86.9,7.9,13.0,13.7,235,248,11
Mexicali,Baja California,32.6638,-115.4673,32.625,-115.375,320.1,218.9,165.4,22.9,7.1,11.8,12.4,201,231,11
Tijuana,Baja California,32.5149,-117.0382,32.625,-117.125,320.2,217.6,162.8,23.1,7.0,11.9,12.5,197,232,11
